Global Seamount Database from Kim, S.-S., and P. Wessel (2011), Geophys. J. Int., in revision.
This file contains 24,646 potential seamounts from the entire ocean basins.
The columns are:
Col 1: Longitude (-180/+180). Center of each seamount (in degrees)
Col 2: Latitude (-90/+90). Center of each seamount (in degrees)
Col 3: Estimated azimuth of the basal ellipse (in degree)
Col 4: Estimated major axis of the basal ellipse of each seamount (in km)
Col 5: Estimated minor axis of the basal ellipse of each seamount (in km)
Col 6: Seamount height obtained from the prediced bathymetry TOPO V12 (in m)
Col 7: Maximum amplitude of the Free-Air Gravity Anomaly (in mGal)
Col 8: Maximum amplitude of the Vertical Gravity Gradient Anomaly (in Eotvos)
Col 9: Regional depth of each seamount (in m)
Col 10: Age of underlying seafloor from the AGE 3.2 grid (in Myr)
Col 11: ID for each seamount (plate_###)
For explanation of modeling and notations, please see our GJI paper

Longitude	Latitude	Azimuth	Major	Minor	Height	FAA	VGG	Depth	CrustAge	ID
00.94726	-07.62560	-8.0	23.7	11.7	2882.8	121.5	146.0	-4714.4	79.6	KW-00116
01.25454	-04.88700	-36.4	14.3	13.2	3040.1	76.4	124.6	-4528.8	82.7	KW-00117
01.27303	-06.64941	-39.4	31.1	13.1	3280.9	117.9	111.6	-4510.4	81.9	KW-00118
01.17283	-06.10930	75.1	21.7	13.4	3153.1	117.9	88.3	-3467.7	81.1	KW-00119
04.20490	-04.65645	-28.6	14.2	13.0	1704.1	43.0	112.5	-4939.4	97.6	KW-00120
04.09995	-05.93427	-51.5	14.7	11.7	2345.5	45.5	104.8	-4858.2	96.4	KW-00121
03.68956	-04.95427	-4.1	15.0	13.6	2359.9	50.7	103.3	-4754.4	94.6	KW-00122
01.30095	-05.68590	-37.7	20.0	12.6	2557.5	100.4	100.9	-3197.3	82.1	KW-00123
03.54565	-05.09406	-40.4	14.7	13.8	1942.8	40.8	100.9	-4735.8	93.7	KW-00124
03.30386	-04.85065	-17.1	15.8	12.7	2040.8	43.3	99.9	-4980.7	92.6	KW-00125
02.94680	-05.10397	24.9	13.7	13.0	1905.3	34.1	88.2	-5062.6	90.5	KW-00126
00.79171	-06.75913	49.2	14.3	3.3	868.0	41.2	42.3	-3929.3	79.6	KW-00127
01.19928	-05.12961	13.1	11.1	9.7	1704.7	34.9	74.5	-4327.7	82.2	KW-00128
03.65030	-06.98241	88.6	14.1	11.5	1257.2	37.4	70.0	-4933.8	92.7	KW-00129
01.56218	-05.07706	16.3	14.9	10.2	2436.3	30.4	66.0	-4624.3	83.6	KW-00130
01.34950	-05.96232	43.5	21.5	10.1	1505.8	74.1	61.0	-3193.0	82.0	KW-00131
04.15310	-05.70903	-46.6	11.5	8.8	924.2	14.2	53.8	-4863.2	97.0	KW-00132
03.33640	-06.25692	50.7	11.2	9.8	941.1	15.4	54.6	-5182.9	92.3	KW-00133
02.85771	-06.59473	-47.4	11.3	6.3	312.9	-5.7	16.0	-5272.7	89.5	KW-00134
-02.72738	-04.27458	81.0	37.4	14.3	2646.2	101.4	113.4	-4461.5	47.1	KW-00135
00.03841	-03.46434	77.6	37.3	16.0	1787.8	95.4	95.4	-3918.8	70.0	KW-00136
-00.03742	-03.88646	55.7	21.5	16.4	2182.0	76.8	101.8	-4519.5	68.9	KW-00137
00.46526	-03.85156	-28.0	15.4	14.4	1667.2	66.9	98.0	-4567.4	71.2	KW-00138
-00.41668	-03.50997	61.2	45.3	13.7	1609.4	71.0	62.6	-4245.1	67.8	KW-00139
00.38766	-03.35793	-50.5	13.8	13.2	1724.1	42.0	72.0	-4317.3	71.8	KW-00140
00.23704	-02.76844	44.8	29.8	12.2	1202.3	45.9	67.3	-4487.2	72.4	KW-00141
-03.27454	-04.38870	-82.5	37.4	14.7	1507.0	53.9	68.6	-4541.4	43.9	KW-00142
-01.49133	-02.21613	-84.2	21.3	15.4	1048.2	46.1	49.6	-4909.1	62.6	KW-00143
-01.20702	-02.03852	-65.4	25.6	17.7	1000.7	46.3	51.1	-4843.9	66.8	KW-00144
-00.60964	-04.18998	78.8	10.3	8.2	1309.8	37.7	44.4	-4000.6	62.6	KW-00145
00.27096	-03.82006	-72.8	21.5	12.7	890.4	35.6	46.4	-4474.4	70.4	KW-00146
-02.91569	-00.58609	-75.0	18.8	16.2	210.8	30.3	46.6	-5149.0	52.8	KW-00147
-02.00462	-04.33185	13.3	15.7	15.1	1136.4	33.3	37.1	-4638.2	51.1	KW-00148
-01.04595	-01.60761	59.6	18.7	13.9	707.2	32.2	45.1	-4692.8	69.0	KW-00149
-01.90313	-02.70575	10.1	23.7	15.0	766.6	25.2	40.6	-5033.1	55.6	KW-00150
-01.00001	-02.94744	33.9	19.7	12.5	528.3	21.4	39.4	-4665.4	64.5	KW-00151
-02.01182	-01.33063	-69.7	28.3	13.2	534.4	22.5	41.2	-4986.5	61.0	KW-00152
-00.97142	-02.49636	74.6	10.5	7.9	322.8	35.6	56.3	-4347.3	67.0	KW-00153
-04.12237	-01.60824	-70.0	26.0	14.4	535.2	20.6	35.3	-5127.0	44.6	KW-00154
-01.13423	-02.50653	-82.2	14.0	10.1	504.1	32.7	48.0	-4666.0	65.2	KW-00155
-00.58440	-03.26300	72.3	17.6	12.4	332.3	29.2	28.6	-4213.7	67.4	KW-00156
-01.11985	-04.55724	-82.1	15.6	12.3	529.2	22.0	42.0	-4650.8	58.7	KW-00157
00.35986	-00.49489	6.7	15.0	13.4	537.4	17.9	33.9	-4770.2	77.7	KW-00158
-00.42725	-01.72905	166.6	13.3	10.1	377.0	33.3	45.0	-4439.5	71.6	KW-00159
-03.60920	-02.93203	61.9	19.8	16.9	415.6	15.8	30.5	-4768.8	45.3	KW-00160
-01.48457	-04.41965	69.6	54.2	14.2	514.2	27.6	31.3	-4741.8	53.8	KW-00161
-02.00389	-02.21085	81.2	10.0	8.6	324.5	23.5	29.8	-4676.6	56.6	KW-00162
-01.72477	-04.32943	59.7	9.1	6.2	211.9	27.3	29.1	-4467.1	52.7	KW-00163
-01.82426	-02.23005	166.7	15.7	14.9	232.9	22.0	26.6	-4711.9	58.6	KW-00164
-04.93828	-04.33485	110.3	19.9	15.7	2051.9	81.5	125.4	-4637.8	35.8	KW-00165
-09.46660	-00.91455	87.8	17.4	12.5	645.3	47.3	66.0	-4518.9	19.8	KW-00166
-08.27578	-04.24168	93.5	17.5	11.3	567.3	43.3	63.9	-3901.1	21.5	KW-00167
-07.18958	00.34011	84.2	21.9	13.6	798.5	34.7	42.5	-5130.5	40.3	KW-00168
-08.23671	00.06412	66.4	16.9	13.7	864.6	24.8	40.2	-4794.8	28.4	KW-00169
-09.25728	-03.46907	129.5	15.2	14.2	952.1	34.4	40.4	-4276.3	17.9	KW-00170
-07.64439	00.25468	78.8	20.3	14.4	917.3	30.2	35.3	-5406.5	34.3	KW-00171
-07.72585	-02.68815	-9.9	17.7	14.2	318.3	20.8	24.5	-4460.2	26.2	KW-00172
-11.87579	-04.08510	67.7	10.2	7.6	467.0	52.0	81.9	-2994.6	1.1	KW-00173
